molecule_chembl_id,canonical_smiles,bio_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL509400,CC(=O)N[C@H](CS(=O)(=O)c1ccc2ccccc2c1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)C(=O)N1CSC(C)(C)[C@H]1C(=O)NCc1ccccc1C,active,744.936,3.5115200000000018,4,8,10.065501548756432
CHEMBL485911,Cc1ccccc1CNC(=O)[C@H]1N(C(=O)[C@@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H](CS(=O)(=O)c2ccc3ccccc3c2)NS(C)(=O)=O)CSC1(C)C,active,780.9910000000001,2.9246200000000018,4,9,10.045757490560675
CHEMBL510136,CC(=O)N[C@H](CS(=O)(=O)c1cccc2ccccc12)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)C(=O)N1CSC(C)(C)[C@H]1C(=O)NCc1ccccc1C,active,744.936,3.5115200000000026,4,8,10.045757490560675
CHEMBL452953,Cc1ccccc1CNC(=O)[C@H]1N(C(=O)[C@@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H](CS(=O)(=O)c2cccc3ccccc23)NS(C)(=O)=O)CSC1(C)C,active,780.9910000000001,2.9246200000000018,4,9,10.080921907623926
CHEMBL508278,CC(=O)N[C@H](CS(=O)(=O)c1ccc(F)cc1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)C(=O)N1CSC(C)(C)[C@H]1C(=O)NCc1ccccc1C,active,712.866,2.4974200000000017,4,8,9.568636235841012
CHEMBL462726,CC(=O)N[C@H](CS(=O)(=O)c1ccc(Cl)cc1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)C(=O)N1CSC(C)(C)[C@H]1C(=O)NCc1ccccc1C,active,729.3209999999999,3.0117200000000013,4,8,9.657577319177793
CHEMBL452873,Cc1ccccc1CNC(=O)[C@H]1N(C(=O)[C@@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H](CS(=O)(=O)c2ccc(Cl)cc2)NS(C)(=O)=O)CSC1(C)C,active,765.3760000000001,2.4248200000000004,4,9,9.958607314841775
CHEMBL230484,COc1ccc(CSC[C@@H](NC(C)=O)C(=O)N[C@@H](Cc2ccccc2)[C@H](O)C(=O)N2CSC(C)(C)[C@H]2C(=O)NCc2ccccc2C)cc1,active,706.931,3.8264200000000024,4,8,9.744727494896694
CHEMBL455816,COc1ccc(CSC[C@@H](NS(C)(=O)=O)C(=O)N[C@@H](Cc2ccccc2)[C@H](O)C(=O)N2CSC(C)(C)[C@H]2C(=O)NCc2ccccc2C)cc1,active,742.986,3.2395200000000024,4,9,9.585026652029182
CHEMBL449836,CC(=O)N[C@H](COCc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)C(=O)N1CSC(C)(C)[C@H]1C(=O)NCc1ccccc1C,active,660.8370000000002,3.1012200000000014,4,7,9.4089353929735
CHEMBL503571,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)n2cc(COC(=O)N[C@H]3c4ccccc4C[C@H]3O)nn2)cc1,active,663.7970000000001,3.6628000000000016,3,10,8.221848749616356
CHEMBL489014,CC1(C)CCC[C@](C)([C@H]2CC[C@]3(C)[C@@H]2[C@H](O)C[C@@H]2[C@@]4(C)CCC(=O)C(C)(C)[C@@H]4CC[C@]23C)O1,inactive,458.7270000000004,6.949200000000009,1,3,4.404503778174426
