molecule_chembl_id,canonical_smiles,standard_value,bio_class
CHEMBL575831,COC(=O)[C@H](NC(=O)[C@]12CCC(C)(C)C[C@@H]1C1=CC[C@@H]3[C@@]4(C)CCC(=O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2)C(C)C,41400.0,inactive
CHEMBL575887,CC(C)[C@@H](NC(=O)[C@]12CCC(C)(C)C[C@@H]1C1=CC[C@@H]3[C@@]4(C)CCC(=O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2)C(=O)O,45200.0,inactive
CHEMBL575035,CC(C)[C@@H](NC(=O)[C@]12CCC(C)(C)C[C@@H]1C1=CC[C@@H]3[C@@]4(C)CC[C@H](O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2)C(=O)O,47300.0,inactive
CHEMBL576007,CC(C)[C@@H](NC(=O)[C@]12CCC(C)(C)C[C@@H]1[C@H]1CC[C@@H]3[C@@]4(C)C=C(O)C(=O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2)C(=O)O,49700.0,inactive
CHEMBL575697,CC(C)[C@@H](NC(=O)[C@]12CCC(C)(C)C[C@@H]1C1=CC[C@@H]3[C@@](C)(CC(=O)O)[C@H](C(C)(C)C(=O)O)CC[C@@]3(C)[C@]1(C)CC2)C(=O)O,88100.0,inactive
CHEMBL572987,C[C@H](c1ccccc1)n1cc([C@H](Cc2ccccc2)n2cc([C@H](Cc3ccccc3)n3cc([C@@H](N)Cc4ccccc4)nn3)nn2)nn1,78000.0,inactive
CHEMBL583710,C[C@H](c1ccccc1)n1cc([C@H](Cc2ccccc2)n2cc([C@H](Cc3ccccc3)n3cc([C@H](Cc4ccccc4)n4cc([C@@H](N)Cc5ccccc5)nn4)nn3)nn2)nn1,29000.0,inactive
CHEMBL583922,CNC(=O)[C@H](Cc1ccccc1)n1cc([C@H](Cc2ccccc2)n2cc([C@H](Cc3ccccc3)n3cc([C@H](Cc4ccccc4)n4cc([C@@H](N)Cc5ccccc5)nn4)nn3)nn2)nn1,72000.0,inactive
CHEMBL583923,CC(C)[C@H](N)c1cn([C@@H](Cc2ccccc2)c2cn([C@@H](Cc3ccccc3)c3cn([C@H](c4cn([C@H](C)c5ccccc5)nn4)C(C)C)nn3)nn2)nn1,60000.0,inactive
CHEMBL583925,NCCNC(=O)[C@H](Cc1ccccc1)n1cc([C@H](Cc2ccccc2)n2cc([C@H](Cc3ccccc3)n3cc([C@H](Cc4ccccc4)n4cc([C@@H](N)Cc5ccccc5)nn4)nn3)nn2)nn1,25000.0,inactive
CHEMBL584,Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,1.9,active
CHEMBL597982,Cc1c(O)cccc1C(=O)N[C@@H](c1cccs1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,30000.0,inactive
CHEMBL578053,Cc1c(O)cccc1C(=O)N[C@@H](c1cc(-c2ccccc2)cs1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,4000.0,intermediate
CHEMBL606392,Cc1c(O)cccc1C(=O)N[C@@H](Cc1cccs1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,2.9,active
CHEMBL577638,Cc1c(O)cccc1C(=O)N[C@@H](Cc1cc(-c2ccccc2)cs1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,6.0,active
CHEMBL591933,Cc1c(O)cccc1C(=O)N[C@@H](Cc1cc2ccccc2s1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,15.0,active
CHEMBL114,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1,0.4,active
CHEMBL577017,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@@H](NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1)c1cccs1,5000.0,intermediate
CHEMBL578874,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@@H](NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1)c1cc(-c2ccccc2)cs1,1500.0,intermediate
CHEMBL578278,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1cccs1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1,21.0,active
CHEMBL577443,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1cc(-c2ccccc2)cs1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1,1.2,active
CHEMBL591934,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1cc2ccccc2s1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1,0.6,active
CHEMBL116438,COc1cc(/C=C/C(=O)/C=C(O)/C=C/c2ccc(O)c(OC)c2)ccc1O,100000.0,inactive
CHEMBL484853,CC(C)c1cc2c(c(O)c1O)[C@@]1(C(=O)O)CCCC(C)(C)[C@@H]1CC2,240.0,active
CHEMBL168640,COC(=O)N[C@H](C(=O)NCCCC[C@@H](CO)N(CC(C)C)S(=O)(=O)c1ccc(N)cc1)C(c1ccccc1)c1ccccc1,0.5,active
CHEMBL1170703,COC(=O)N[C@H](C(=O)NCCCC[C@@H](CO)N(CCC(C)C)S(=O)(=O)c1ccc(N)cc1)C(c1ccccc1)c1ccccc1,0.03,active
CHEMBL1170705,COC(=O)N[C@H](C(=O)N[C@H](C)CCC[C@@H](CO)N(CCC(C)C)S(=O)(=O)c1ccc(N)cc1)C(c1ccccc1)c1ccccc1,0.4,active
CHEMBL1170706,CC[C@@H](CCC[C@@H](CO)N(CCC(C)C)S(=O)(=O)c1ccc(N)cc1)NC(=O)[C@@H](NC(=O)OC)C(c1ccccc1)c1ccccc1,0.016,active
CHEMBL1170707,CCC[C@@H](CCC[C@@H](CO)N(CCC(C)C)S(=O)(=O)c1ccc(N)cc1)NC(=O)[C@@H](NC(=O)OC)C(c1ccccc1)c1ccccc1,0.1,active
CHEMBL1170708,COC(=O)N[C@H](C(=O)N[C@@H](CCC[C@@H](CO)N(CCC(C)C)S(=O)(=O)c1ccc(N)cc1)C(C)C)C(c1ccccc1)c1ccccc1,0.1,active
CHEMBL1170709,COC(=O)N[C@H](C(=O)N[C@H](CO)CCC[C@@H](CO)N(CCC(C)C)S(=O)(=O)c1ccc(N)cc1)C(c1ccccc1)c1ccccc1,0.013,active
CHEMBL1761675,CC[C@H](C)[C@H](NC(=O)[C@@H](N)CO)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)NC12NC(=O)C3(O)C4C5CC(C6C5C3C61)C42,78.0,active
CHEMBL1761676,CC[C@H](C)[C@H](NC(=O)[C@@H](N)CO)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)Nc1cccc(O)c1,10000.0,inactive
CHEMBL1761678,CC[C@H](C)[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)NC12NC(=O)C3(O)C4C5CC(C6C5C3C61)C42,500.0,active
CHEMBL1761679,CC[C@H](C)[C@H](NC(=O)[C@@H](N)CO)C(=O)N[C@H](C(=O)N[C@@H](CCC(=O)O)C(=O)NC12NC(=O)C3(O)C4C5CC(C6C5C3C61)C42)C(C)C,2000.0,intermediate
CHEMBL1761680,CC[C@H](C)[C@H](NC(=O)[C@@H](N)CO)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(N)=O)C(=O)NC12NC(=O)C3(O)C4C5CC(C6C5C3C61)C42,5000.0,intermediate
CHEMBL1761681,CC[C@H](C)[C@H](NC(=O)[C@@H](N)CO)C(=O)N[C@@H](C)C(=O)N[C@]12NC(=O)[C@@]3(O)C4C5CC(C6C5C3C61)C42,500.0,active
CHEMBL1761682,CC[C@H](C)[C@H](NC(=O)[C@@H](N)CO)C(=O)N[C@@H](C)C(=O)N[C@@]12NC(=O)[C@]3(O)C4C5CC(C6C5C3C61)C42,10000.0,inactive
CHEMBL1163,COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C,4.0,active
CHEMBL729,Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CCCNC1=O,25.0,active
CHEMBL168,CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,8000.0,intermediate
CHEMBL1783812,CC1(C)CC[C@]2(C(=O)NCCCCCC(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,1700.0,intermediate
CHEMBL1783813,CC1(C)CC[C@]2(C(=O)NCCCCCC(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)CCCCC(=O)O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,1700.0,intermediate
CHEMBL169,C[C@H]1[C@H](C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@H]12,8000.0,intermediate
CHEMBL1783810,C[C@H]1[C@H](C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@H]12.O=C(O)CC(=O)O,6000.0,intermediate
CHEMBL1783814,C[C@H]1[C@H](C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@H]12.O=C(O)CCCC(=O)O,4000.0,intermediate
CHEMBL1783815,CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1.O=C(O)CCCC(=O)O,4000.0,intermediate
CHEMBL1783811,C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12.O=C(O)CCCC(=O)O,4000.0,intermediate
CHEMBL2017307,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)COc2ccc3[nH]ccc3c2)cc1OC,1000.0,active
CHEMBL2017311,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)COc2ccc3sccc3c2)cc1OC,60.0,active
CHEMBL2035863,CC(C)[C@H](NC(=O)C[C@@H](NCc1ccccc1)C1O[C@@H]2OC(C)(C)O[C@@H]2[C@H]1OCc1ccccc1)C(=O)N[C@@H](C)C(=O)O,1090.0,intermediate
CHEMBL2035864,CC(C)[C@H](NC(=O)C[C@H](NCc1ccccc1)C1O[C@@H]2OC(C)(C)O[C@@H]2[C@H]1OCc1ccccc1)C(=O)N[C@@H](C)C(=O)O,1290.0,intermediate
CHEMBL2035865,CC(C)[C@H](NC(=O)C[C@@H](N)C1O[C@@H]2OC(C)(C)O[C@@H]2[C@H]1O)C(=O)N[C@@H](C)C(=O)O,950.0,active
CHEMBL2035866,CC(C)[C@H](NC(=O)C[C@H](N)C1O[C@@H]2OC(C)(C)O[C@@H]2[C@H]1O)C(=O)N[C@@H](C)C(=O)O,1010.0,intermediate
CHEMBL2035867,CC(C)[C@H](NC(=O)[C@H](C)NC(=O)C[C@@H](NCc1ccccc1)C1O[C@@H]2OC(C)(C)O[C@@H]2[C@H]1OCc1ccccc1)C(=O)O,1020.0,intermediate
CHEMBL2035868,CC(C)[C@H](NC(=O)[C@H](C)NC(=O)C[C@H](NCc1ccccc1)C1O[C@@H]2OC(C)(C)O[C@@H]2[C@H]1OCc1ccccc1)C(=O)O,760.0,active
CHEMBL2035871,CC(C)[C@H](NC(=O)[C@H](C)NC(=O)C[C@H](NCc1ccccc1)C1O[C@@H]2OC(C)(C)O[C@@H]2[C@H]1O)C(=O)O,710.0,active
CHEMBL2034991,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CC(C/C=C/c1ccccc1)C(=O)N[C@H](C(=O)NC[C@H]1OC(O)[C@H](O)[C@H]1O)C1CCCCC1,0.17,active
CHEMBL1323,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc(N)cc1,3.8,active
CHEMBL2041753,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OC[C@H](O)[C@H]21)S(=O)(=O)c1ccc(N)cc1,2.9,active
CHEMBL2041754,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OC[C@H](OCc3ccccc3)[C@H]21)S(=O)(=O)c1ccc(N)cc1,3.5,active
CHEMBL2041756,COCCO[C@H]1CO[C@@H]2OC[C@H](OC(=O)N[C@@H](Cc3ccccc3)[C@H](O)CN(CC(C)C)S(=O)(=O)c3ccc(N)cc3)[C@@H]21,2.5,active
CHEMBL2041942,CNc1nc2ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc3ccccc3)NC(=O)O[C@H]3CO[C@H]4OC[C@H](OCCOC)[C@H]43)cc2o1,1.5,active
CHEMBL2046922,CC[C@H](C)[C@H](NC(=O)[C@@H](NC(C)=O)C(C)C)C(=O)N1CCC[C@H]1[C@H](O)[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CO)NC(C)=O,0.6,active
CHEMBL2046975,CC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@H](O)[C@@H](O)[C@@H]1CCCCN1C(=O)[C@@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(C)=O)C(C)C)C(C)C,1.8,active
CHEMBL2046976,CC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](C(=O)N1CCC[C@H]1[C@H](O)[C@@H](O)[C@H](Cc1ccccc1)NC(=O)COc1c(C)cccc1C)C(C)C,75.0,active
CHEMBL2046977,O=C(COc1ccccc1)N[C@@H](Cc1ccccc1)[C@H](O)[C@@H](O)[C@@H]1CCCN1C(=O)COc1ccccc1,614.0,active
CHEMBL2046978,CC[C@H](NC(=O)COc1ccccc1C)[C@H](O)[C@@H](O)[C@@H]1CCCN1C(=O)COc1ccccc1C,655.0,active
CHEMBL2046979,Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@H](O)[C@@H](O)[C@@H]1CCCN1C(=O)COc1ccccc1,85.0,active
CHEMBL2046980,Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@H](O)[C@@H](O)[C@@H]1CCCN1C(=O)COc1c(C)cccc1C,9.6,active
CHEMBL2046981,Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@H](O)[C@@H](O)[C@@H]1CCCCN1C(=O)COc1c(C)cccc1C,175.0,active
CHEMBL2046449,Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)[C@H](O)[C@H]1CCCN1C(=O)COc1c(C)cccc1C,3300.0,intermediate
CHEMBL2046984,CC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@H](O)[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(C)=O)C(C)C)C(C)C,6.0,active
CHEMBL2046985,Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@H](O)[C@@H](O)[C@H](Cc1ccccc1)NC(=O)COc1c(C)cccc1C,28.0,active
CHEMBL1233644,CC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@H](O)[C@@H](O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(C)=O)C(C)C)C(C)C,5.0,active
CHEMBL187266,Cc1coc2c1C(=O)C(=O)c1c-2ccc2c1CCCC2(C)C,59200.0,inactive
CHEMBL187460,C[C@H]1COC2=C1C(=O)C(=O)c1c2ccc2c1CCCC2(C)C,69600.0,inactive
CHEMBL363535,Cc1coc2c1C(=O)C(=O)c1c-2ccc2c(C)cccc12,45900.0,inactive
CHEMBL227075,Cc1cccc2c3c(ccc12)C1=C(C(=O)C3=O)[C@@H](C)CO1,50600.0,inactive
CHEMBL2180487,CC1(C)CC(=O)C2=C(C1)Nc1ccccc1N(C(=O)C(=O)N1c3ccccc3NC3=C(C(=O)CC(C)(C)C3)C1c1ccccc1)C2,100.0,active
CHEMBL2180488,CC1(C)CC(=O)C2=C(C1)Nc1ccccc1N(C(=O)C(=O)N1CC3=C(CC(C)(C)CC3=O)Nc3ccccc31)C2,200.0,active
CHEMBL2180490,CC1(C)CC(=O)C2=C(C1)Nc1ccccc1N(C(=O)C(=O)N1c3ccccc3NC3=C(C(=O)CC(C)(C)C3)C1c1ccccc1)C2c1ccccc1,30.0,active
CHEMBL2180491,CC1(C)CC(=O)C2=C(C1)Nc1ccccc1N(C(=O)C(F)(F)C(=O)N1c3ccccc3NC3=C(C(=O)CC(C)(C)C3)C1c1ccccc1)C2c1ccccc1,300.0,active
CHEMBL2177556,O=C1CC(c2ccccc2)CC2=C1C(c1ccccc1)N(C(=O)C(=O)N1c3ccccc3NC3=C(C(=O)CC(c4ccccc4)C3)C1c1ccccc1)c1ccccc1N2,60.0,active
CHEMBL2177557,O=C1CC(c2ccccc2)CC2=C1C(c1ccccc1)Nc1ccccc1N2,20000.0,inactive
CHEMBL2177558,COc1cc([C@@H]2Nc3ccccc3NC3=C2C(=O)C[C@@H](c2ccccc2)C3)cc(Cl)c1O,4300.0,intermediate
CHEMBL2234330,O=C1OC(COc2ccc3ccccc3c2)(c2ccccc2)CC(O)=C1SCc1ccccc1,73.0,active
CHEMBL2234329,CCOc1ccc(OCC)c(SC2=C(O)CC(COc3ccc4ccccc4c3)(c3ccccc3)OC2=O)c1,9.2,active
CHEMBL2234328,Cc1ccc(C)c(SC2=C(O)CC(COc3ccc4ccccc4c3)(c3ccccc3)OC2=O)c1,65.0,active
CHEMBL2234327,O=C1OC(COc2ccc3ccccc3c2)(c2ccccc2)CC(O)=C1Sc1ccccc1Cl,89.0,active
CHEMBL2234326,CCc1ccccc1SC1=C(O)CC(COc2ccc3ccccc3c2)(c2ccccc2)OC1=O,22.0,active
CHEMBL2234325,Cc1ccccc1SC1=C(O)CC(COc2ccc3ccccc3c2)(c2ccccc2)OC1=O,61.0,active
CHEMBL2234324,O=C1OC(COc2ccc3ccccc3c2)(c2ccccc2)CC(O)=C1Sc1ccccc1,126.0,active
CHEMBL2234323,O=C1OC(COc2cccc3ccccc23)(c2ccccc2)CC(O)=C1SCc1ccccc1,128.0,active
CHEMBL2234322,CCOc1ccc(OCC)c(SC2=C(O)CC(COc3cccc4ccccc34)(c3ccccc3)OC2=O)c1,3.5,active
CHEMBL2234321,Cc1ccc(C)c(SC2=C(O)CC(COc3cccc4ccccc34)(c3ccccc3)OC2=O)c1,126.0,active
CHEMBL2234384,O=C1OC(COc2cccc3ccccc23)(c2ccccc2)CC(O)=C1Sc1ccccc1Cl,59.0,active
CHEMBL2234383,CCc1ccccc1SC1=C(O)CC(COc2cccc3ccccc23)(c2ccccc2)OC1=O,100.0,active
CHEMBL2234382,Cc1ccccc1SC1=C(O)CC(COc2cccc3ccccc23)(c2ccccc2)OC1=O,64.0,active
CHEMBL2234381,O=C1OC(COc2cccc3ccccc23)(c2ccccc2)CC(O)=C1Sc1ccccc1,159.0,active
CHEMBL2234380,O=C1OC(CSc2ccccc2)(c2ccccc2)CC(O)=C1SCc1ccccc1,32.0,active
CHEMBL2234379,CCOc1ccc(OCC)c(SC2=C(O)CC(CSc3ccccc3)(c3ccccc3)OC2=O)c1,24.0,active
CHEMBL2234337,Cc1ccc(C)c(SC2=C(O)CC(CSc3ccccc3)(c3ccccc3)OC2=O)c1,196.0,active
CHEMBL2234336,O=C1OC(CSc2ccccc2)(c2ccccc2)CC(O)=C1Sc1ccccc1Cl,70.0,active
CHEMBL2234335,CCc1ccccc1SC1=C(O)CC(CSc2ccccc2)(c2ccccc2)OC1=O,238.0,active
CHEMBL2234334,Cc1ccccc1SC1=C(O)CC(CSc2ccccc2)(c2ccccc2)OC1=O,240.0,active
CHEMBL2234333,O=C1OC(CSc2ccccc2)(c2ccccc2)CC(O)=C1Sc1ccccc1,258.0,active
CHEMBL2234332,O=C(O)CCCCC1(CCc2ccccc2)CC(O)=C(SCCc2ccccc2)C(=O)O1,5.0,active
CHEMBL2234331,Cc1ccc(C(C)C)c(SC2=C(O)CC(CCc3ccccc3)(C(C)C)OC2=O)c1,1.1,active
CHEMBL2297025,O=C(CC1(O)C2C3CC4C5C3C1C5C(O)(CC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O)C42)N[C@@H](Cc1ccc(O)cc1)C(=O)O,10000.0,inactive
CHEMBL2297024,O=C(CC1(O)C2C3CC4C5C3C1C5C(O)(CC(=O)N[C@@H](Cc1c[nH]c3ccccc13)C(=O)O)C42)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,5000.0,intermediate
CHEMBL2297027,O=C(CC1(O)C2C3CC4C5C3C1C5C(O)(CC(=O)N[C@H](C(=O)O)c1ccccc1)C42)N[C@H](C(=O)O)c1ccccc1,5000.0,intermediate
CHEMBL2297028,CC(C)[C@H](NC(=O)CC1(O)C2C3CC4C5C3C1C5C(O)(CC(=O)N[C@H](C(=O)O)C(C)C)C42)C(=O)O,10000.0,inactive
CHEMBL2297030,CC(C)[C@H](NC12OC3(O)C4C5CC(C6C5C3C61)C42)C(=O)N[C@@H](C)C(=O)O,600.0,active
CHEMBL2297031,CC[C@H](C)[C@H](NC(=O)[C@H](C)NC(=O)[C@H](CCC(=O)O)NC12NC(=O)C3(O)C4C5CC(C6C5C3C61)C42)C(=O)N[C@@H](CO)C(=O)O,78.0,active
CHEMBL163,CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,9850.0,intermediate
CHEMBL2349226,Cc1cn([C@H]2C[C@H](n3cc(CNCC(=O)N(Cc4ccccc4)Cc4cc5cc(Cl)ccc5oc4=O)nn3)[C@@H](CO)O2)c(=O)[nH]c1=O,29550.0,inactive
CHEMBL2349225,CCOc1cccc2cc(CN(Cc3ccccc3)C(=O)CNCc3cn([C@H]4C[C@H](n5cc(C)c(=O)[nH]c5=O)O[C@@H]4CO)nn3)c(=O)oc12,27290.0,inactive
CHEMBL2349224,COc1cccc2cc(CN(Cc3ccccc3)C(=O)CNCc3cn([C@H]4C[C@H](n5cc(C)c(=O)[nH]c5=O)O[C@@H]4CO)nn3)c(=O)oc12,22700.0,inactive
CHEMBL2349223,Cc1cn([C@H]2C[C@H](n3cc(CNCC(=O)N(Cc4ccccc4)Cc4cc5cc(Br)ccc5oc4=O)nn3)[C@@H](CO)O2)c(=O)[nH]c1=O,32040.0,inactive
CHEMBL2349222,Cc1cn([C@H]2C[C@H](n3cc(CNCC(=O)N(Cc4ccccc4)Cc4cc5ccccc5oc4=O)nn3)[C@@H](CO)O2)c(=O)[nH]c1=O,35060.0,inactive
CHEMBL2349088,Cc1cn([C@H]2C[C@H](n3cc(CNCc4cc5cc(Cl)ccc5oc4=O)nn3)[C@@H](CO)O2)c(=O)[nH]c1=O,24810.0,inactive
CHEMBL2349087,CCOc1cccc2cc(CNCc3cn([C@H]4C[C@H](n5cc(C)c(=O)[nH]c5=O)O[C@@H]4CO)nn3)c(=O)oc12,23350.0,inactive
CHEMBL2349086,COc1cccc2cc(CNCc3cn([C@H]4C[C@H](n5cc(C)c(=O)[nH]c5=O)O[C@@H]4CO)nn3)c(=O)oc12,21600.0,inactive
CHEMBL2349085,Cc1cn([C@H]2C[C@H](n3cc(CNCc4cc5cc(Br)ccc5oc4=O)nn3)[C@@H](CO)O2)c(=O)[nH]c1=O,28910.0,inactive
CHEMBL2349084,Cc1cn([C@H]2C[C@H](n3cc(CNCc4cc5ccccc5oc4=O)nn3)[C@@H](CO)O2)c(=O)[nH]c1=O,27060.0,inactive
CHEMBL3093182,CCCC[C@H](NC(=O)CNC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc1ccccc1)NC[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)[C@@H](N)CCCNC(=N)N)C(C)C)C(=O)O,30.7,active
CHEMBL3093183,CCCC[C@H](NC(=O)CNC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc1ccccc1)NC[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)[C@@H](N)CCCNC(=N)N)C(C)C)C(=O)O,2.6,active
CHEMBL104538,Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](CC(C)C)NC(=O)[C@H](C(C)C)N1CCCNC1=O,2.1,active
CHEMBL3114729,CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N(CCCN(Cc2ccccc2)C(=O)OCc2cncs2)Cc2ccccc2)C(C)C)cs1,21000.0,inactive
CHEMBL3114726,CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@H](CCN(Cc2ccccc2)NC(=O)OCc2cncs2)Cc2ccccc2)C(C)C)cs1,30.0,active
CHEMBL3114725,CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@H](CCNNC(=O)OCc2cncs2)Cc2ccccc2)C(C)C)cs1,8800.0,intermediate
CHEMBL3114724,CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N(CCCCN(Cc2ccccc2)C(=O)OCc2cncs2)Cc2ccccc2)C(C)C)cs1,22700.0,inactive
CHEMBL3114713,CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@H](CC[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)Cc2ccccc2)C(C)C)cs1,5.0,active
CHEMBL3115186,CC(C)c1nc(CN(C)C(=O)N[C@@H](Cn2cccn2)C(=O)N[C@H](CC[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)Cc2ccccc2)cs1,30.0,active
CHEMBL3115184,CC(C)c1nc(CN(C)C(=O)N[C@@H](Cc2c[nH]cn2)C(=O)N[C@H](CC[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)Cc2ccccc2)cs1,3000.0,intermediate
